| №    | Дата/время           | Температура | Осадки (мм)  |
| ---- | -------------------- | ----------- | ------------ |
| 1    | 2026-05-24T00:00     | 14,9        | 0,00         |
| 2    | 2026-05-24T01:00     | 14,2        | 0,00         |
| 3    | 2026-05-24T02:00     | 13,2        | 0,00         |
| 4    | 2026-05-24T03:00     | 12,9        | 0,00         |
| 5    | 2026-05-24T04:00     | 12,3        | 0,00         |
| 6    | 2026-05-24T05:00     | 12,9        | 0,00         |
| 7    | 2026-05-24T06:00     | 14,9        | 0,00         |
| 8    | 2026-05-24T07:00     | 16,6        | 0,00         |
| 9    | 2026-05-24T08:00     | 17,9        | 0,00         |
| 10   | 2026-05-24T09:00     | 18,9        | 0,00         |
| 11   | 2026-05-24T10:00     | 19,6        | 0,00         |
| 12   | 2026-05-24T11:00     | 20,2        | 0,00         |
| 13   | 2026-05-24T12:00     | 21,1        | 0,00         |
| 14   | 2026-05-24T13:00     | 21,4        | 0,00         |
| 15   | 2026-05-24T14:00     | 21,5        | 0,00         |
| 16   | 2026-05-24T15:00     | 21,5        | 0,00         |
| 17   | 2026-05-24T16:00     | 21,2        | 0,00         |
| 18   | 2026-05-24T17:00     | 20,6        | 0,00         |
| 19   | 2026-05-24T18:00     | 19,8        | 0,00         |
| 20   | 2026-05-24T19:00     | 18,3        | 0,00         |
| 21   | 2026-05-24T20:00     | 16,2        | 0,00         |
| 22   | 2026-05-24T21:00     | 14,5        | 0,00         |
| 23   | 2026-05-24T22:00     | 13,5        | 0,00         |
| 24   | 2026-05-24T23:00     | 13,0        | 0,00         |
